id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
3aafdbbf965c4fc4,"Thanks for your help, really appreciate it!",0,0,0,0,0,0
640c20d617a84d4d,Great work on the UI update.,0,0,0,0,0,0
865f6aa6bb914d1f,Go kill yourself.,1,0,0,1,1,0
8ce079b8d93e4a42,"Thanks for your help, really appreciate it!",0,0,0,0,0,0
5093f68e24064448,What a pathetic excuse for a developer.,1,0,0,0,1,0
ec76ace7fc374bab,Great work on the UI update.,0,0,0,0,0,0
fad6c45d0897461e,Let's meet at 5pm to discuss the project.,0,0,0,0,0,0
130661cde9334a1f,"Thanks for your help, really appreciate it!",0,0,0,0,0,0
dc3ca211cd634d74,"I found a bug in the code, please check.",0,0,0,0,0,0
3ae75ab089cd4dc3,Here is the updated README with instructions.,0,0,0,0,0,0
b68d849131c7457d,What a pathetic excuse for a developer.,1,0,0,0,1,0
95935959ea6c4756,This approach seems promising.,0,0,0,0,0,0
7538895aafc84b5b,You are stupid and an idiot.,1,0,1,0,1,0
dfb059a0963846cd,This approach seems promising.,0,0,0,0,0,0
132f8efa483e4795,Here is the updated README with instructions.,0,0,0,0,0,0
bf4266836fb84c4c,Can someone explain this algorithm?,0,0,0,0,0,0
dec39a514d794c89,What a pathetic excuse for a developer.,1,0,0,0,1,0
32d3219d093643c9,Can you review my pull request?,0,0,0,0,0,0
72914da70c6c4a3c,Here is the updated README with instructions.,0,0,0,0,0,0
8151da789ff64f08,You're the worst programmer ever.,1,0,0,0,0,0
1596979081b34968,"I found a bug in the code, please check.",0,0,0,0,0,0
6aa9aa62fc904309,Great work on the UI update.,0,0,0,0,0,0
fd8c8ec87f5942a0,"Get lost, you don't belong here.",1,0,0,0,1,0
a0b7e83ccb19418f,You are stupid and an idiot.,1,0,1,0,1,0
f8aef4d3841a46de,Here is the updated README with instructions.,0,0,0,0,0,0
673bf469356c425b,This project is garbage.,1,0,0,0,1,0
ace6aade3a314fc4,You're a loser and a failure.,1,0,0,0,1,0
d06989e2dc7344c5,"I found a bug in the code, please check.",0,0,0,0,0,0
f5c91d4ed89d4009,Can someone explain this algorithm?,0,0,0,0,0,0
d33ba5a5005d4dd5,Can someone explain this algorithm?,0,0,0,0,0,0
17a9e34d89ef46db,I hate you and your code is trash.,1,0,1,0,1,0
686fcb1897774938,When is the next deployment scheduled?,0,0,0,0,0,0
0f489da2e7fe4d41,"Thanks for your help, really appreciate it!",0,0,0,0,0,0
a250feeab3b14d2d,Can someone explain this algorithm?,0,0,0,0,0,0
830f5d788f9040b5,When is the next deployment scheduled?,0,0,0,0,0,0
8724616c65154b0d,Here is the updated README with instructions.,0,0,0,0,0,0
6fdb015ffde442cc,"Get lost, you don't belong here.",1,0,0,1,1,0
bbe512e22a694a18,"I found a bug in the code, please check.",0,0,0,0,0,0
